Type;Outlet Name;Location;Description
Newspaper;The Roanoke Times;Roanoke;Daily newspaper serving Roanoke and Southwest Virginia. VPM
Newspaper;Daily Press;Newport News;Daily newspaper covering the Virginia Peninsula and surrounding areas. VPM
Television;WTVR CBS 6 News;Richmond;CBS affiliate providing news, weather, and sports for Richmond and Central Virginia. WTKR
Television;WAVY-TV 10;Portsmouth;NBC affiliate offering local news coverage for the Hampton Roads area. WRIC
Television;WDBJ 7;Roanoke;CBS affiliate covering news in Roanoke and Southwest Virginia. WTOP
Television;WHSV-TV 3;Harrisonburg;ABC affiliate providing news coverage for the Shenandoah Valley. WTOP
Television;WVEC 13News Now;Norfolk;ABC affiliate offering news and weather updates for Norfolk and the Hampton Roads area. WSLS 10
Radio;WTOP 103.5 FM;Washington, D.C.;News radio station covering the Washington metropolitan area, including Northern Virginia. NBC Washington
Radio;VPM News;Richmond;Public radio station offering news and cultural programming across Virginia. NBC Washington
Radio;WMRA 90.7 FM;Harrisonburg;NPR affiliate serving the Shenandoah Valley and Central Virginia. WRIC
Radio;WAMU 88.5 FM;Washington, D.C.;NPR affiliate covering the Washington metropolitan area, including Northern Virginia.
Radio;WVTF 89.1 FM;Roanoke;Public radio station providing news and cultural content for Southwest Virginia. Wikipedia
Digital;Virginia Mercury;Statewide;Nonprofit news organization providing in-depth reporting on Virginia politics and policy. Wikipedia
Digital;ARLnow;Arlington;Online news outlet focusing on Arlington County and Northern Virginia. Wikipedia
Digital;Richmond BizSense;Richmond;Digital publication covering business news in the Richmond area. Wikipedia
Digital;The Virginia Star;Statewide;Online news source covering Virginia politics and government. Wikipedia
Digital;Inside NoVa;Northern Virginia;Digital platform offering news and information for Northern Virginia communities. Wikipedia
Newspaper;The Seattle Times;Seattle;The largest daily newspaper in Washington, covering Seattle and statewide news. Wikipedia
Newspaper;The Spokesman-Review;Spokane;Daily newspaper serving Spokane and the Inland Northwest region. Wikipedia
Newspaper;The News Tribune;Tacoma;Daily newspaper covering Tacoma and Pierce County. Wikipedia
Newspaper;The Columbian;Vancouver;Daily newspaper serving Vancouver and Southwest Washington. Wikipedia
Newspaper;The Daily Herald;Everett;Daily newspaper covering Everett and Snohomish County. Wikipedia
Television;KING 5;Seattle;NBC affiliate providing news, weather, and sports for Seattle and Western Washington. KING 5
Television;KOMO 4;Seattle;ABC affiliate offering local news coverage for Seattle and surrounding areas. KOMO News
Television;KIRO 7;Seattle;CBS affiliate covering news in Seattle and the Puget Sound region. KIRO 7
Television;FOX 13;Seattle;FOX affiliate providing news and weather updates for Seattle and Western Washington. Fox 13 Seattle
Television;KHQ 6;Spokane;NBC affiliate offering news coverage for Spokane and Eastern Washington.
Radio;KUOW 94.9 FM;Seattle;NPR affiliate offering news and cultural programming across Western Washington. KUOW
Radio;KEXP 90.3 FM;Seattle;Independent radio station featuring diverse music and local news. Wikipedia
Radio;KIRO Radio 97.3 FM;Seattle;News/talk radio station serving Seattle and the Puget Sound area.
Radio;KNKX 88.5 FM;Tacoma;NPR affiliate providing jazz, blues, and news programming for Western Washington.
Radio;KXLY 920 AM;Spokane;News/talk radio station covering Spokane and Eastern Washington.
Digital;Cascade PBS News;Seattle;Nonprofit news organization providing in-depth reporting on Washington state issues. Cascade Public Broadcasting
Digital;Crosscut;Seattle;Online news outlet focusing on politics, culture, and public policy in the Pacific Northwest. Wikipedia
Digital;The Stranger;Seattle;Alternative weekly newspaper and online platform covering Seattle news and culture.
Digital;MyNorthwest.com;Seattle;Digital platform offering news, sports, and entertainment for the Seattle area.
Digital;Salish Current;Bellingham;Nonprofit news site serving Whatcom, Skagit, and San Juan counties in northwestern Washington. Wikipedia
Newspaper;Charleston Gazette-Mail;Charleston;Daily newspaper covering Charleston and statewide news. Wikipedia
Newspaper;The Herald-Dispatch;Huntington;Daily newspaper serving Huntington and the Tri-State area. Wikipedia
Newspaper;The State Journal;Charleston;Weekly newspaper focusing on business and government news across West Virginia. Wikipedia
Newspaper;Times West Virginian;Fairmont;Daily newspaper covering Fairmont and surrounding communities. Wikipedia
Newspaper;The Dominion Post;Morgantown;Daily newspaper serving Morgantown and North-Central West Virginia.
Television;WCHS-TV (ABC 8);Charleston;ABC affiliate providing news, weather, and sports for Charleston and nearby areas. WCHS-TV
Television;WOWK-TV (CBS 13);Charleston/Huntington;CBS affiliate offering local news coverage for Charleston, Huntington, and the surrounding region. WOWK 13 News
Television;WVNS-TV (CBS/FOX 59);Beckley;CBS and FOX affiliate covering news in Beckley and Southern West Virginia. WVNS 59 News
Television;WBOY-TV (NBC/ABC 12);Clarksburg;NBC and ABC affiliate providing news coverage for Clarksburg, Fairmont, and Morgantown. WBOY
Television;WDTV (CBS 5);Bridgeport;CBS affiliate offering news and weather updates for North-Central West Virginia.
Radio;WV MetroNews;Statewide;Statewide radio network providing news, sports, and talk programming. WV MetroNews
Radio;West Virginia Public Broadcasting;Statewide;NPR affiliate offering news and cultural programming across West Virginia. West Virginia Public Broadcasting
Radio;WCHS-AM 580;Charleston;News/talk radio station serving Charleston and the Kanawha Valley.
Radio;WAJR-AM 1440;Morgantown;News/talk radio station covering Morgantown and North-Central West Virginia.
Radio;WVOW-AM 1290;Logan;News/talk and sports radio station serving Southern West Virginia.
Digital;WV MetroNews;Statewide;Online news platform offering statewide news, sports, and commentary. WV MetroNews
Digital;West Virginia Public Broadcasting;Statewide;Digital platform for West Virginia Public Broadcasting, providing news and cultural content. West Virginia Public Broadcasting
Digital;The Panhandle News Network;Martinsburg;Online news outlet focusing on the Eastern Panhandle of West Virginia. Panhandle News Network
Digital;HuntingtonNews.net;Huntington;Online news source covering Huntington and the Tri-State area.
Digital;Weirton Daily Times;Weirton;Online platform for the daily newspaper serving Weirton and the Northern Panhandle.
Newspaper;Milwaukee Journal Sentinel;Milwaukee;The largest daily newspaper in Wisconsin, covering Milwaukee and statewide news. WISN 12 News
Newspaper;Wisconsin State Journal;Madison;Daily newspaper serving Madison and south-central Wisconsin. Wikipedia
Newspaper;Green Bay Press-Gazette;Green Bay;Daily newspaper covering Green Bay and northeastern Wisconsin. NBC26
Newspaper;The Post-Crescent;Appleton;Daily newspaper serving Appleton and the Fox Cities region. NBC26
Newspaper;The Capital Times;Madison;Digital-first newspaper focusing on Madison and state politics. NBC26
Television;WISN 12 News;Milwaukee;ABC affiliate providing news, weather, and sports for Milwaukee and southeastern Wisconsin. WISN 12 News
Television;WTMJ-TV (TMJ4);Milwaukee;NBC affiliate offering local news coverage for Milwaukee and surrounding areas. TMJ4
Television;WKOW 27 News;Madison;ABC affiliate covering news in Madison and south-central Wisconsin. NBC26
Television;WISC-TV (News 3 Now);Madison;CBS affiliate providing news and weather updates for Madison and the surrounding region. NBC26
Television;WBAY-TV 2;Green Bay;ABC affiliate offering news coverage for Green Bay and northeastern Wisconsin. NBC26
Radio;Wisconsin Public Radio (WPR);Statewide;NPR affiliate offering news and cultural programming across Wisconsin. Wisconsin Public Radio
Radio;WTMJ 620 AM;Milwaukee;News/talk radio station serving Milwaukee and southeastern Wisconsin. NBC26
Radio;WIBA 1310 AM;Madison;News/talk radio station covering Madison and south-central Wisconsin. NBC26
Radio;WHBY 1150 AM;Appleton;News/talk radio station serving Appleton and the Fox Cities. NBC26
Radio;WTAQ 1360 AM;Green Bay;News/talk radio station covering Green Bay and northeastern Wisconsin. NBC26
Digital;WisPolitics.com;Statewide;Online news outlet focusing on Wisconsin politics and government. NBC26
Digital;Urban Milwaukee;Milwaukee;Online publication covering Milwaukee news, politics, and culture. NBC26
Digital;Madison365;Madison;Digital news source focusing on communities of color in Madison and Wisconsin. NBC26
Digital;OnMilwaukee;Milwaukee;Online magazine covering Milwaukee entertainment, dining, and events. NBC26
Digital;The Badger Herald;Madison;Student-run newspaper at the University of Wisconsin-Madison, covering campus and local news. NBC26
Newspaper;Casper Star-Tribune;Casper;Wyoming's largest daily newspaper, covering statewide news, politics, and community events. Wikipedia
Newspaper;Wyoming Tribune Eagle;Cheyenne;Daily newspaper serving Cheyenne and Laramie County, focusing on local news and events. Wikipedia
Newspaper;Jackson Hole News&Guide;Jackson;Weekly newspaper covering news, sports, and features in Jackson and Teton County. Wikipedia
Newspaper;Gillette News Record;Gillette;Daily newspaper serving Gillette and Campbell County, providing local news and information.
Newspaper;Laramie Boomerang;Laramie;Daily newspaper covering Laramie and Albany County, focusing on community news and events.
Television;KCWY 13 News;Casper;NBC affiliate providing news, weather, and sports coverage for central Wyoming.
Television;KGWN NewsChannel 5;Cheyenne;CBS affiliate offering local news coverage for Cheyenne and southeastern Wyoming.
Television;KTWO-TV;Casper;ABC affiliate covering news and events in Casper and central Wyoming.
Television;K2TV;Casper;Independent station providing local news and weather updates for Casper and surrounding areas.
Television;Wyoming PBS;Riverton;Public television network offering educational and cultural programming statewide.
Radio;Wyoming Public Radio;Laramie;NPR affiliate offering news and cultural programming across Wyoming. Wyoming Public Media
Radio;KTWO 1030 AM;Casper;News/talk radio station serving Casper and central Wyoming.
Radio;KOWB 1290 AM;Laramie;News/talk radio station covering Laramie and Albany County.
Radio;KROE 930 AM;Sheridan;News/talk radio station serving Sheridan and northern Wyoming.
Radio;KUGR 1490 AM;Green River;News/talk and sports radio station covering Green River and southwestern Wyoming.
Digital;WyoFile;Statewide;Nonprofit news organization providing in-depth reporting on Wyoming's people, places, and policies. Wyofile
Digital;Cowboy State Daily;Statewide;Online news outlet covering Wyoming news, politics, and community stories. Cowboy State Daily
Digital;SweetwaterNOW;Rock Springs;Independent online news source covering southwest Wyoming, including Rock Springs and Green River. Sweetwater Now
Digital;Cap City News;Cheyenne;Online news platform focusing on Cheyenne and Laramie County. CapCity News
Digital;Buckrail;Jackson;Web-based news outlet providing breaking news and community updates for Jackson Hole and surrounding areas. Buckrail
